tag,n_reviews,n_toxic,toxicity_rate,toxicity_pct
Conversation,265376,3540,0.013339563487278428,1.3339563487278427
Turn-Based Strategy,2015093,26785,0.013292190484508656,1.3292190484508657
Lovecraftian,506462,6728,0.013284313531913549,1.328431353191355
Dinosaurs,345635,4579,0.013248079621566104,1.3248079621566105
Walking Simulator,1206796,15956,0.01322178727804865,1.3221787278048651
Score Attack,375544,4965,0.013220820995675607,1.3220820995675608
Turn-Based Tactics,1015166,13399,0.013198826595847379,1.319882659584738
RTS,1936091,25486,0.01316363745299162,1.3163637452991621
Space,3040536,40015,0.013160508541914978,1.3160508541914977
Time Travel,245241,3212,0.01309732059484344,1.309732059484344
Dungeon Crawler,1209294,15813,0.013076224640161945,1.3076224640161944
Building,3921760,51269,0.013072957039696463,1.3072957039696462
Escape Room,165313,2151,0.01301168087204273,1.301168087204273
Touch-Friendly,418290,5430,0.01298142437065194,1.298142437065194
Utilities,226027,2930,0.012963053086578151,1.2963053086578151
Rome,152976,1982,0.012956280723773663,1.2956280723773663
Time Manipulation,138633,1789,0.01290457538969798,1.290457538969798
Surreal,1085013,13969,0.012874500121196704,1.2874500121196704
Turn-Based,2087273,26841,0.012859362431267975,1.2859362431267976
Asymmetric VR,18387,236,0.01283515527274705,1.283515527274705
Roguelite,1815484,23181,0.012768495894207825,1.2768495894207825
Detective,763710,9718,0.012724725353864687,1.2724725353864688
Documentary,4652,59,0.012682717110920035,1.2682717110920034
Word Game,39086,494,0.012638796500025584,1.2638796500025584
Magic,1551632,19550,0.012599637027336378,1.259963702733638
Puzzle,4328139,54470,0.012585085645354736,1.2585085645354737
6DOF,68091,845,0.012409863271210585,1.2409863271210586
Automobile Sim,832736,10326,0.012400088383353188,1.2400088383353187
Base Building,2732051,33750,0.0123533565076201,1.23533565076201
Exploration,7182127,87861,0.012233284095366177,1.2233284095366177
Driving,898851,10969,0.012203357397388443,1.2203357397388443
Kickstarter,259032,3161,0.012203125482565861,1.2203125482565862
Tutorial,163049,1987,0.012186520616501788,1.2186520616501788
Transhumanism,81684,993,0.012156603496400764,1.2156603496400764
Card Battler,441409,5365,0.012154260561066946,1.2154260561066947
Photo Editing,59712,723,0.012108118971061094,1.2108118971061095
Short,1188474,14374,0.012094501015588057,1.2094501015588057
Crafting,3258429,39330,0.012070233845819565,1.2070233845819565
Interactive Fiction,611605,7322,0.011971779171197097,1.1971779171197097
Underground,55385,661,0.011934639342782341,1.193463934278234
Otome,60131,712,0.011840814222281353,1.1840814222281353
Mystery Dungeon,33597,397,0.011816531237908146,1.1816531237908146
Jet,82978,978,0.011786256598134445,1.1786256598134446
Rugby,1019,12,0.011776251226692836,1.1776251226692835
Roguelike Deckbuilder,132329,1553,0.011735900671810412,1.173590067181041
Deckbuilding,576525,6732,0.011676857031351632,1.1676857031351633
Spaceships,72568,845,0.011644250909491788,1.1644250909491787
Shop Keeper,17839,207,0.011603789450081283,1.1603789450081283
Underwater,273302,3123,0.01142691967127939,1.142691967127939
Mystery,1612381,18343,0.011376343432476567,1.1376343432476568
BMX,23011,261,0.011342401460171223,1.1342401460171223
Early Access,3370764,38232,0.011342235766134919,1.1342235766134918
Programming,120991,1367,0.011298361035118314,1.1298361035118314
Mahjong,5224,59,0.011294027565084226,1.1294027565084226
Sequel,89380,1007,0.011266502573282614,1.1266502573282613
CRPG,452341,5086,0.011243729840982798,1.12437298409828
TrackIR,116038,1302,0.01122046226236233,1.122046226236233
Metroidvania,993427,11135,0.011208674618265862,1.1208674618265861
4X,785244,8725,0.01111119601041205,1.111119601041205
Experimental,409859,4539,0.011074540268726563,1.1074540268726563
