label,arm,model,bucket,n,prev,auc_pr,auc_roc
rate,content_leavetoxicout,mlp,>=10,21017,0.17148023028976542,0.25874400739402126,0.6357606545379588
rate,content_leavetoxicout,svc,5-9,48404,0.10885464011238741,0.1863794409387598,0.6520472619660173
rate,content_leavetoxicout,svc,>=10,21017,0.17148023028976542,0.30057604802410764,0.674647731837995
rate,content_leavetoxicout,xgb,5-9,48404,0.10885464011238741,0.1687553493594262,0.6333406268873474
rate,content_leavetoxicout,xgb,>=10,21017,0.17148023028976542,0.3073864938860449,0.6907842878051804
rate,content,lgbm,5-9,48404,0.10885464011238741,0.39273393919342947,0.8139757547920927
rate,content,lgbm,>=10,21017,0.17148023028976542,0.48200193510513156,0.7976865390669313
rate,content,linsvc,5-9,48404,0.10885464011238741,0.45572606504785945,0.8389947496750846
rate,content,linsvc,>=10,21017,0.17148023028976542,0.5334356168297858,0.8267090370245914
rate,content,logreg,5-9,48404,0.10885464011238741,0.4535452434678603,0.8393460194387661
rate,content,logreg,>=10,21017,0.17148023028976542,0.5317734278579485,0.82578790464445
rate,content,mlp,5-9,48404,0.10885464011238741,0.3706009717161527,0.7851666820919541
rate,content,mlp,>=10,21017,0.17148023028976542,0.4553749512767092,0.7720409369223105
rate,content,svc,5-9,48404,0.10885464011238741,0.4597234268320998,0.8166617787535077
rate,content,svc,>=10,21017,0.17148023028976542,0.5290036547746729,0.8002668633975675
rate,content,xgb,5-9,48404,0.10885464011238741,0.37036900695800834,0.7978341026507522
rate,content,xgb,>=10,21017,0.17148023028976542,0.4720196353117153,0.7909942948973598
