src,label,arm,model,eval,prev,aucpr,aucpr_sd,roc,roc_sd,f1m,f1m_sd,f1p,f1p_sd,precp,precp_sd,recp,recp_sd
MiniLM,rate,content_agnostic+ban,mlp,BALANC,0.5,0.5468,0.0024,0.5516,0.002,0.5402,0.0023,0.5172,0.002,0.546,0.0029,0.4912,0.0027
MiniLM,rate,content_agnostic+ban,svc,REAL,0.1278,0.1382,0.0048,0.5141,0.0128,0.517,0.0047,0.1568,0.0179,0.1596,0.0068,0.1572,0.0327
MiniLM,rate,content_agnostic+ban,svc,BALANC,0.5,0.5207,0.0025,0.5143,0.003,0.5161,0.0026,0.498,0.0127,0.5184,0.0027,0.4797,0.0234
MiniLM,rate,content_agnostic+ban,xgb,REAL,0.1278,0.1519,0.0024,0.5598,0.0075,0.5264,0.0036,0.1844,0.0096,0.1711,0.0062,0.2008,0.0218
MiniLM,rate,content_agnostic+ban,xgb,BALANC,0.5,0.5483,0.0024,0.559,0.0025,0.5495,0.0023,0.5419,0.005,0.5514,0.0031,0.5327,0.0105
MiniLM,rate,content_agnostic,histgb,REAL,0.1278,0.1596,0.0043,0.577,0.0073,0.5321,0.0045,0.1976,0.0105,0.18,0.008,0.2208,0.0276
MiniLM,rate,content_agnostic,histgb,BALANC,0.5,0.5607,0.0024,0.5753,0.0022,0.5584,0.0017,0.5686,0.0067,0.5562,0.0018,0.5817,0.0145
MiniLM,rate,content_agnostic,lgbm,REAL,0.1278,0.1565,0.0039,0.5711,0.0077,0.5289,0.0038,0.1966,0.0143,0.174,0.0058,0.2277,0.0329
MiniLM,rate,content_agnostic,lgbm,BALANC,0.5,0.5565,0.0041,0.5702,0.003,0.5555,0.0029,0.5608,0.0132,0.5546,0.0025,0.5678,0.0274
MiniLM,rate,content_agnostic,linsvc,REAL,0.1278,0.1548,0.0039,0.5609,0.0052,0.5292,0.0038,0.1859,0.0115,0.1764,0.0056,0.1976,0.0227
MiniLM,rate,content_agnostic,linsvc,BALANC,0.5,0.552,0.0032,0.5594,0.003,0.5475,0.002,0.5547,0.0057,0.5462,0.0021,0.5636,0.0122
MiniLM,rate,content_agnostic,logreg,REAL,0.1278,0.1547,0.0036,0.561,0.0049,0.5295,0.003,0.1865,0.0077,0.1774,0.0068,0.198,0.0206
MiniLM,rate,content_agnostic,logreg,BALANC,0.5,0.5524,0.0033,0.5595,0.0031,0.5474,0.002,0.5523,0.003,0.5465,0.0022,0.5584,0.0061
MiniLM,rate,content_agnostic,mlp,REAL,0.1278,0.1502,0.0038,0.5511,0.0078,0.526,0.0027,0.1781,0.0103,0.173,0.0076,0.1861,0.0281
MiniLM,rate,content_agnostic,mlp,BALANC,0.5,0.5439,0.0018,0.5504,0.002,0.5402,0.0018,0.5214,0.0013,0.5446,0.0021,0.5002,0.0014
MiniLM,rate,content_agnostic,svc,REAL,0.1278,0.1349,0.0063,0.5033,0.0174,0.5156,0.0061,0.1527,0.0178,0.1561,0.0093,0.1509,0.0279
MiniLM,rate,content_agnostic,svc,BALANC,0.5,0.5127,0.0022,0.5036,0.0028,0.5031,0.0024,0.4904,0.0036,0.5036,0.0026,0.478,0.0063
MiniLM,rate,content_agnostic,xgb,REAL,0.1278,0.1526,0.0024,0.5585,0.0053,0.5265,0.0054,0.1841,0.0119,0.173,0.0112,0.2003,0.0308
MiniLM,rate,content_agnostic,xgb,BALANC,0.5,0.5491,0.0032,0.5572,0.0025,0.5483,0.0023,0.5391,0.0063,0.5506,0.0025,0.5283,0.0121
MiniLM,rate,content,histgb,REAL,0.1278,0.4265,0.0147,0.8103,0.0058,0.6761,0.0048,0.4374,0.0087,0.4256,0.0096,0.45,0.0139
MiniLM,rate,content,histgb,BALANC,0.5,0.8015,0.0033,0.8096,0.0032,0.7346,0.0026,0.7354,0.0041,0.7333,0.0052,0.7376,0.0115
MiniLM,rate,content_leavetoxicout,histgb,REAL,0.1278,0.2397,0.0049,0.6902,0.0076,0.5872,0.0046,0.2977,0.0096,0.2606,0.008,0.3482,0.0253
MiniLM,rate,content_leavetoxicout,histgb,BALANC,0.5,0.6681,0.0051,0.6886,0.0043,0.6381,0.0035,0.6505,0.0054,0.6298,0.0053,0.6729,0.0145
MiniLM,rate,content_leavetoxicout,lgbm,REAL,0.1278,0.238,0.0045,0.6913,0.007,0.589,0.0022,0.2988,0.0089,0.2659,0.0093,0.3441,0.0366
MiniLM,rate,content_leavetoxicout,lgbm,BALANC,0.5,0.6661,0.0044,0.6891,0.0038,0.6396,0.0027,0.6455,0.0087,0.6357,0.0064,0.6563,0.0238
MiniLM,rate,content_leavetoxicout,linsvc,REAL,0.1278,0.2513,0.0077,0.6987,0.0081,0.5948,0.0041,0.3054,0.0112,0.2766,0.0049,0.3419,0.0273
MiniLM,rate,content_leavetoxicout,linsvc,BALANC,0.5,0.6788,0.0045,0.6977,0.0038,0.6462,0.0034,0.6538,0.0058,0.6405,0.0043,0.6678,0.0136
MiniLM,rate,content_leavetoxicout,logreg,REAL,0.1278,0.2499,0.0074,0.6996,0.008,0.5932,0.0041,0.3018,0.0127,0.2759,0.0107,0.3359,0.0379
MiniLM,rate,content_leavetoxicout,logreg,BALANC,0.5,0.678,0.0044,0.6984,0.0038,0.6454,0.003,0.6512,0.0092,0.6413,0.0063,0.6621,0.0245
MiniLM,rate,content_leavetoxicout,mlp,REAL,0.1278,0.1818,0.0033,0.606,0.0038,0.5484,0.0025,0.2251,0.0053,0.2056,0.0074,0.2502,0.0215
MiniLM,rate,content_leavetoxicout,mlp,BALANC,0.5,0.5944,0.0045,0.605,0.0032,0.5786,0.0024,0.5746,0.0091,0.5804,0.0033,0.5693,0.0196
MiniLM,rate,content_leavetoxicout,svc,REAL,0.1278,0.2049,0.0059,0.6351,0.0083,0.5675,0.0069,0.2535,0.0151,0.238,0.01,0.2721,0.0273
MiniLM,rate,content_leavetoxicout,svc,BALANC,0.5,0.6243,0.0047,0.6338,0.0042,0.5959,0.0032,0.5951,0.0032,0.5964,0.0044,0.5939,0.0075
